ID,Vessel Type,Average Speed,Top Speed,Laden,X Position,Y Position,Vessel Age,Year of Construction,Beaufort Wind Scale,Crew Size,Hours To Arrival
1232662,Bulk carrier,10.024649647931748,15.106353466085586,True,-858.8437027058068,430.2813845596272,25,1999,6,290,150.43
2875042,Bulk carrier,10.935736636081506,16.017440454235345,False,-898.3536535722036,938.4034627367753,23,2001,3,93,112.57
4004226,Oil tanker,8.041267316870965,13.122971135024802,True,-694.3813525920735,408.0357728904444,19,2005,3,75,132.87
1598777,Bulk carrier,11.541086900490134,16.622790718643973,True,-449.67081970158085,736.5591393222,57,1967,6,233,83.0
1531409,Bulk carrier,11.293660789414892,16.37536460756873,True,-130.11387342146793,-230.03259697394367,55,1969,4,305,32.0
3526718,Bulk carrier,10.066892233205905,15.148596051359743,True,-184.97103940810428,-918.3554188972433,27,1997,5,213,151.77
381072,Bulk carrier,11.451588721642898,16.533292539796737,True,-841.3275658385548,-962.0425198798259,15,2009,0,233,141.86
2068530,Bulk carrier,10.342015791777536,15.423719609931375,False,-721.7008284682271,186.25731351511536,32,1992,0,265,50.84
1778789,Oil tanker,8.671844294544982,13.75354811269882,False,-473.5259700249461,312.91197959349324,53,1971,4,242,57.44
1662957,Container ship,16.80469385363115,21.886397671784987,True,-619.556345538592,988.9267275649336,51,1973,6,47,78.11
1714851,Container ship,14.90224145059647,19.983945268750308,False,-379.43989201855743,-573.3729614064603,51,1973,3,242,38.7
188397,Container ship,14.71972123731736,19.8014250554712,False,-980.886469467414,-748.6481486029409,53,1971,12,114,163.07
2063745,Container ship,14.195352470470738,19.277056288624575,True,-297.7338730635753,-738.4840371708567,46,1978,5,73,64.12
3868213,Bulk carrier,11.590036011628072,16.67173982978191,True,-499.26674616791814,-17.082765144935934,54,1970,10,68,48.72
2640569,Bulk carrier,10.087543800493641,15.169247618647479,False,-497.7229809056185,-608.5389789533087,14,2010,7,201,54.57
3516553,Oil tanker,8.366929118012875,13.448632936166714,True,-393.12387379407846,719.1575695317795,36,1988,9,233,156.8
1187536,Bulk carrier,12.364868097433058,17.446571915586897,True,-434.7236789228099,-989.1218365089613,51,1973,12,29,255.26
1814908,Bulk carrier,11.953039194796052,17.03474301294989,True,-121.13426644870663,-292.8035454741033,35,1989,6,184,39.11
1897847,Bulk carrier,9.03247691710907,14.11418073526291,False,-455.5746754632256,863.5011397249618,59,1965,9,116,81.25
2508143,Oil tanker,7.420150935366179,12.501854753520018,True,-280.0580162379646,78.58948367862786,19,2005,2,101,50.68
1890650,Oil tanker,7.151513571323225,12.233217389477062,False,-725.7923352732004,-259.11784158928674,24,2000,10,52,74.37
1951723,Oil tanker,7.704255761866162,12.78595958002,True,-876.625630969556,-36.6526488355496,57,1967,9,172,239.79
3342274,Oil tanker,8.559730072175388,13.641433890329225,True,-538.8165358681504,145.07316740319789,19,2005,10,103,118.75
234497,Container ship,15.311991381262683,20.39369519941652,True,-311.6794865489511,339.5136495057145,18,2006,9,191,31.27
425989,Bulk carrier,11.007350285804325,16.089054103958162,True,-961.886919844242,-856.6466091923508,11,2013,10,191,139.68
1032394,Container ship,16.017070540894263,21.0987743590481,True,-769.0366260631674,434.972133032858,43,1981,8,111,72.59
1595251,Bulk carrier,11.443370037010816,16.525073855164653,True,-169.54944285563965,-598.9505404412365,13,2011,6,288,57.03
1024321,Container ship,14.846939765640366,19.928643583794205,True,-982.3326931034765,-377.59450301871084,21,2003,7,184,78.23
2114967,Container ship,15.907944092850899,20.989647911004738,True,-434.31166560561223,565.3822076519396,60,1964,9,95,57.73
3042855,Oil tanker,7.402612476298178,12.484316294452016,True,-475.10637993272155,-944.8574817675894,34,1990,1,175,173.55
1887790,Container ship,15.133744075877354,20.215447894031193,False,-171.99695315006784,-281.37719009405737,7,2017,10,207,20.18
2865177,Oil tanker,8.528987980181089,13.610691798334926,False,-341.6675123337167,622.8789211730088,26,1998,8,217,59.0
3775359,Bulk carrier,11.728208820674238,16.809912638828077,False,-377.6860927621467,-933.6234173541106,43,1981,11,102,88.03
519960,Oil tanker,8.194300757720182,13.276004575874019,True,-597.161788253509,187.33401079832356,52,1972,9,306,83.6
2849964,Oil tanker,7.6380537027698185,12.719757520923658,False,-322.59898842440816,398.76162080222593,49,1975,1,197,57.44
1619844,Container ship,14.92140057825022,20.00310439640406,True,-619.1528519078117,787.4258824137489,8,2016,3,254,90.69
2738913,Oil tanker,9.07949260829871,14.161196426452548,False,-309.874656331237,-958.0664423732401,29,1995,5,34,84.81
2946859,Bulk carrier,11.916756514628304,16.99846033278214,True,-404.2047486974096,518.3689542704731,25,1999,2,286,56.11
2743062,Container ship,14.978035837909912,20.05973965606375,True,-560.2242690237454,-34.74397701101202,55,1969,10,68,41.47
191322,Oil tanker,7.984514571272876,13.066218389426714,True,-595.8315436779021,877.7767358584476,39,1985,5,190,287.43
10632,Oil tanker,8.82220123375793,13.903905051911767,True,-405.27244629033726,-355.5531235608089,26,1998,9,73,131.68
434947,Oil tanker,8.258852276448996,13.340556094602835,False,-305.91950352714275,546.5684029631034,49,1975,4,194,62.01
1032379,Bulk carrier,11.100490790203208,16.182194608357047,True,-767.0828859438982,-156.06176529423976,18,2006,4,114,88.32
1625766,Container ship,13.596419928051512,18.67812374620535,True,-895.8271393820493,-983.8271707165276,30,1994,0,318,120.69
2033124,Container ship,15.471424559504033,20.55312837765787,False,-551.3580664001191,954.5296892703088,16,2008,0,323,64.53
2826761,Bulk carrier,11.76529398331724,16.84699780147108,True,-631.4119878194808,565.808505770432,24,2000,7,252,72.35
1966962,Container ship,13.706617587545875,18.788321405699712,False,-350.7650336005174,-119.03844281798581,53,1971,10,78,28.03
2609281,Oil tanker,8.062440611692718,13.144144429846556,True,-385.1664382218729,-74.23319122872044,39,1985,2,166,52.71
277223,Oil tanker,7.197557879496738,12.279261697650576,True,-933.7631159111968,-741.3321853863462,33,1991,6,138,352.45
969612,Oil tanker,8.77904051367918,13.860744331833018,True,-454.6676201763896,-374.223984149693,39,1985,4,267,68.1
3982790,Bulk carrier,10.990330454732293,16.072034272886132,True,-404.83483078691984,-766.2755503891545,3,2021,2,81,83.12
1467558,Container ship,16.49182889164792,21.573532709801757,True,-165.88490240947294,598.7371958579051,57,1967,12,138,75.94
4044645,Container ship,15.334252845105745,20.415956663259582,True,-899.8138798189426,-935.2042224078644,59,1965,5,310,92.49
437123,Oil tanker,9.01451933666817,14.09622315482201,True,-412.90005639746914,-954.9454555441124,27,1997,6,111,154.18
1220133,Container ship,15.59174685767451,20.67345067582835,True,-485.3883990498607,-756.4308175873444,31,1993,11,215,103.37
2913748,Container ship,15.336198045883261,20.4179018640371,True,-329.8266906814508,356.29426105075026,1,2023,2,164,31.74
3127498,Oil tanker,8.419711495409281,13.501415313563118,True,-413.53396262582726,-175.48409095453076,30,1994,3,155,106.45
1610625,Container ship,14.978123259599458,20.059827077753297,True,-722.0306190180611,486.30200691547793,16,2008,10,296,62.82
1543218,Bulk carrier,10.73035555871449,15.812059376868326,False,-368.0928891626829,233.34909024355943,49,1975,4,273,32.62
114579,Container ship,14.965353815424647,20.047057633578486,False,-918.0106395032255,802.9871672547636,38,1986,3,294,66.96
2583094,Bulk carrier,,16.310465284391334,False,-826.0712551210404,659.675034754473,39,1985,2,153,70.14
3793571,Oil tanker,8.529845424686966,13.611549242840805,False,-911.2185113850184,-525.1128938533266,12,2012,2,198,112.48
794168,Oil tanker,8.133344046480953,13.21504786463479,True,-172.2039199435627,-371.47571858902563,26,1998,4,313,111.46
3788607,Oil tanker,9.522194816369286,14.603898634523123,True,-401.7977589750227,-515.628580261541,19,2005,8,109,122.45
556660,Bulk carrier,11.189376747653412,16.27108056580725,True,-361.25924489954025,85.87686301687927,25,1999,5,279,35.73
793018,Oil tanker,8.655561187348994,13.737265005502831,False,-391.0850291853958,146.21426186961776,6,2018,5,242,31.07
1114072,Container ship,15.027410745195134,20.10911456334897,True,-523.0392222376211,166.61844088322982,35,1989,2,62,44.6
3618973,Bulk carrier,11.269290787115551,16.35099460526939,True,-164.8774530673163,-919.0468239219842,4,2020,6,224,91.05
727253,Container ship,14.473101780526605,19.554805598680442,False,-257.7274427955226,-999.4580845311749,20,2004,11,147,78.77
2788069,Oil tanker,9.460197868610289,14.541901686764128,True,-182.37689235786945,674.2841497805425,41,1983,1,207,117.97
1486988,Oil tanker,8.668140252747206,13.749844070901045,False,-101.63973493571473,961.5173917482648,46,1978,3,127,85.59
586806,Bulk carrier,9.94245361343899,15.02415743159283,False,-972.9332415028675,-189.87442680143408,17,2007,0,276,98.45
2878014,Container ship,15.517416913011758,20.599120731165595,True,-944.0016806299506,684.4103266718732,27,1997,12,291,181.64
3571706,Oil tanker,9.249111745670497,14.330815563824334,True,-978.8025655949023,606.5640413826748,53,1971,8,27,256.3
1165455,Bulk carrier,10.128618773569583,15.210322591723422,True,-198.22038979029867,687.2408110404604,33,1991,10,303,89.69
3441826,Oil tanker,7.70860286005204,12.790306678205878,False,-615.0393056708298,-148.19971513354744,9,2015,6,219,64.47
2888678,Oil tanker,8.10856454139159,13.190268359545428,False,-777.7267608763439,-169.83011205896491,26,1998,1,47,62.08
2529342,Bulk carrier,11.717072061839211,16.798775879993048,True,-943.748535971644,766.2813669332272,8,2016,7,281,148.7
88100,Container ship,15.274058564951956,20.355762383105795,True,-247.24397296489383,242.05839486741502,59,1965,9,128,27.74
928663,Container ship,15.182756395218522,20.26446021337236,False,-566.7332161998972,438.38746884414513,14,2010,4,242,45.47
3490480,Bulk carrier,11.484862762968122,16.56656658112196,False,-962.4125906162097,334.98548060793496,45,1979,12,86,175.03
2290229,Container ship,15.698749235109448,20.780453053263287,True,-473.1554323825568,101.02814469036821,40,1984,1,142,45.13
782796,Container ship,16.82743535999733,21.909139178151168,False,-972.0286122926241,84.84258859340616,40,1984,6,272,46.95
1845815,Bulk carrier,9.924477160878002,15.00618097903184,False,-110.92450340403673,234.84750241062102,22,2002,6,24,17.45
1082110,Oil tanker,8.317892822798678,13.399596640952517,True,-930.9048505248784,933.9177696653664,29,1995,0,208,231.67
2854976,Bulk carrier,11.324332947939908,16.406036766093745,True,-335.11350129425637,-972.1062044002229,1,2023,11,280,112.57
2732764,Oil tanker,9.211294826779081,14.292998644932918,False,-347.7488020031849,967.1784943587973,14,2010,9,116,94.06
1994923,Container ship,14.96297413881788,20.044677956971718,False,-893.8738023792462,-746.8210901021972,24,2000,8,221,70.24
185848,Container ship,15.11562472587716,20.197328544031,True,-139.20914342417097,-635.2108444891117,40,1984,3,207,60.39
576898,Bulk carrier,11.45698411590161,16.53868793405545,True,-574.6165833460772,-709.2225287745675,58,1966,1,72,131.46
1451287,Bulk carrier,11.06241214469413,16.14411596284797,True,-412.36653848960077,-995.7042892521737,39,1985,0,326,143.08
3274166,Oil tanker,9.380504552144915,14.462208370298754,True,-759.4593431309903,-320.65696306161806,17,2007,0,63,111.06
3258625,Container ship,13.44200136090705,18.523705179060887,True,-354.5674882028253,739.332361683727,17,2007,6,222,69.12
1504217,Bulk carrier,10.669033586060705,15.750737404214544,False,-721.6628633451753,-348.8328649348433,46,1978,6,215,65.59
762966,Container ship,14.510916634837308,19.592620452991145,False,-120.90816746900066,833.460167179064,14,2010,10,132,57.63
3468345,Bulk carrier,9.61621453832592,14.697918356479757,False,-522.0005037359683,-347.90491442169343,4,2020,11,115,62.35
3223953,Bulk carrier,11.066720918951535,16.148424737105373,False,-417.52108414740997,-104.41204030879624,10,2014,7,78,29.14
496476,Container ship,13.974978104501307,19.056681922655144,False,-448.34613466553833,-875.2821854479629,47,1977,0,312,66.41
2859012,Container ship,15.60323594221673,20.68493976037057,True,-986.3970917068108,-184.85869146329708,33,1991,11,220,93.36
880453,Container ship,15.441988862752877,20.523692680906716,True,-825.1364261991221,-0.41480178989547767,60,1964,10,314,58.76
1777136,Container ship,16.09857487115059,21.180278689304426,True,-396.13306810460244,-987.3057433650046,21,2003,2,87,69.36
2036250,Bulk carrier,12.705577696713357,17.787281514867196,False,-551.7707291858947,321.17694795514694,37,1987,2,81,43.23
1132181,Oil tanker,9.009426491178374,14.091130309332211,True,-308.35457098809616,-619.6194717927492,50,1974,4,231,86.91
1395764,Oil tanker,7.639330631410823,12.721034449564662,True,-731.8466060792293,-239.93588611464634,34,1990,2,245,102.13
2566290,Oil tanker,8.43914274234547,13.520846560499308,True,-176.77307345890597,-951.2530718781844,11,2013,8,162,223.28
2629028,Bulk carrier,10.550773535437235,15.632477353591074,True,-404.25712919669775,681.3874663768877,19,2005,8,55,97.51
3728367,Oil tanker,7.592880373590362,12.6745841917442,True,-872.6902321395884,-639.7392217576157,56,1968,5,153,185.45
2529490,Container ship,15.191875869622983,20.27357968777682,True,-892.5217847713391,267.2303015282132,47,1977,1,268,61.97
2011671,Container ship,14.760419961853051,19.84212378000689,True,-264.67022967009257,-813.541828563798,34,1990,2,27,79.07
3904087,Container ship,16.7196341453353,21.801337963489136,False,-281.2563738780609,291.6864810012171,14,2010,9,155,20.81
1121259,Bulk carrier,10.916296204745803,15.998000022899642,True,-122.72379354981945,429.88357666106776,58,1966,12,194,152.78
2568516,Oil tanker,8.349659371034896,13.431363189188733,False,-975.1705663218271,841.8635900608488,35,1989,2,124,131.41
793522,Bulk carrier,12.152331391059313,17.23403520921315,False,-845.6444795453099,-590.1379423558346,22,2002,8,180,79.87
3186336,Container ship,15.55996410151511,20.641667919668947,False,-436.7801679963104,991.1244925794094,45,1979,1,134,62.32
694365,Bulk carrier,10.712995880847869,15.794699699001708,False,-725.1355950703502,231.77838423710296,15,2009,1,241,67.38
784519,Oil tanker,7.962875980186033,13.044579798339871,False,-902.0655582080468,991.9728694701018,19,2005,2,176,119.37
3357599,Oil tanker,7.7993505711145055,12.881054389268343,False,-498.54951930987914,821.3155411399082,35,1989,9,97,112.83
689170,Oil tanker,8.947688931846692,14.029392750000529,True,-423.040791288542,-954.8814037075308,35,1989,11,244,240.14
1854959,Oil tanker,8.201924412942208,13.283628231096046,True,-966.0709290314509,-542.7228054237282,4,2020,10,182,314.27
481112,Oil tanker,8.687307576692895,13.769011394846732,True,-901.5681814424208,-854.3494988624254,46,1978,10,122,231.38
308329,Oil tanker,8.071100102421106,13.152803920574943,False,-958.6323573143334,-941.4601777078242,10,2014,11,307,159.81
3021997,Bulk carrier,10.419910304865335,15.501614123019174,True,-745.3948341289084,-581.0239010425407,22,2002,8,163,137.15
483799,Container ship,14.321581225006211,19.40328504316005,True,-604.6429001645415,272.6722697845057,22,2002,6,151,64.61
3330788,Container ship,15.195757829270885,20.277461647424722,True,-264.4805064653227,941.9778638339976,35,1989,2,126,69.64
2841600,Bulk carrier,12.175843582377745,17.257547400531582,False,-747.3478732584271,-53.7812503981105,14,2010,8,288,60.78
389746,Bulk carrier,11.504938016053272,16.58664183420711,False,-187.8911998527352,-657.6225001214796,49,1975,1,59,49.12
1535416,Oil tanker,8.704939963338715,13.786643781492554,True,-720.9859601290541,796.8780323249357,2,2022,12,161,423.54
2353965,Oil tanker,8.955250730731082,14.036954548884921,False,-936.7856414842215,-8.32130763513203,1,2023,5,160,100.6
932132,Container ship,15.854478001409962,20.9361818195638,False,-146.6059253362464,-694.0373037390417,60,1964,3,274,38.28
3670440,Bulk carrier,10.828550608555974,15.910254426709812,False,-189.9171213413099,329.0647334964326,12,2012,3,205,29.58
3465962,Oil tanker,8.51170055925455,13.593404377408387,True,-382.6087509589073,514.0817681422791,38,1986,1,111,93.92
12606,Bulk carrier,10.7480529006634,15.829756718817237,False,-132.39883733911552,-428.0193503004897,1,2023,7,312,34.02
2940951,Container ship,14.518866818441227,19.600570636595066,False,-524.9950996046027,826.2235052769076,54,1970,7,177,65.28
2690879,Oil tanker,9.090296795200446,14.172000613354285,True,-205.05344129049558,878.3600690050405,21,2003,3,99,142.16
4017762,Bulk carrier,,16.015565679318154,False,-735.7289997578207,950.0233621360223,21,2003,8,205,104.78
1400301,Bulk carrier,12.133078936976998,17.214782755130837,False,-914.2801751758683,-527.7439817550711,28,1996,4,80,75.7
3886956,Container ship,13.835022144408304,18.916725962562143,False,-803.1461979508908,649.5870404618606,36,1988,7,285,60.88
2439679,Container ship,14.910691314669386,19.992395132823223,False,-608.4418046663325,159.44473053940783,26,1998,10,61,40.02
1301418,Container ship,15.496544048591172,20.57824786674501,True,-557.1232238608868,325.97115567396645,35,1989,6,52,54.49
4047530,Bulk carrier,11.666676469924708,16.748380288078547,True,-805.4798589650964,-636.471297328296,7,2017,1,297,146.17
226539,Oil tanker,9.033206741236084,14.114910559389923,True,-599.5148719544648,-515.7185784737566,32,1992,11,139,113.27
3161120,Oil tanker,,14.290131072567359,True,-990.8592183303834,727.4446469349782,6,2018,4,64,166.25
829606,Oil tanker,8.56786901618541,13.64957283433925,True,-900.3727286018483,-505.6826152854035,5,2019,12,39,272.28
3258753,Container ship,14.452148159541718,19.533851977695555,True,-127.69914111985327,-133.4976216908401,13,2011,7,263,14.06
837241,Oil tanker,7.49788539961149,12.579589217765328,False,-156.2743232648827,333.31251536242075,36,1988,1,131,35.15
1357001,Bulk carrier,10.947581856177967,16.029285674331806,False,-985.1883925832298,177.0090021598437,46,1978,3,181,90.05
3610448,Oil tanker,7.356548088386627,12.438251906540465,True,-497.7270812598935,47.013365963915476,55,1969,12,25,282.77
1453895,Oil tanker,8.567912690090557,13.649616508244396,True,-873.7018410987246,646.7040522878808,23,2001,7,74,168.77
1748784,Container ship,14.687736255778658,19.769440073932497,True,-987.0233512289501,127.87220678306403,49,1975,2,31,70.66
3492586,Bulk carrier,10.410862278303714,15.492566096457551,False,-105.84478089170887,-443.58936135927047,7,2017,1,185,30.71
694776,Container ship,14.514339621048972,19.59604343920281,True,-230.05419416945517,-979.5225443935971,36,1988,5,176,84.88
399857,Bulk carrier,10.651969276215032,15.733673094368871,False,-709.426684006936,275.3402864140919,50,1974,7,298,69.22
841394,Container ship,14.221537345604522,19.30324116375836,False,-718.1134725336883,866.974190238152,2,2022,0,77,69.98
2679650,Container ship,15.288971994884356,20.370675813038194,False,-543.8562914563499,-349.98839566282186,43,1981,8,320,42.12
1964190,Bulk carrier,10.516733060666523,15.598436878820362,False,-603.0315279547625,640.8970822759622,35,1989,2,167,62.72
2996266,Container ship,,20.24610576105049,True,-883.2990046219528,-64.79872282789859,38,1986,0,49,81.61
3890556,Oil tanker,8.802867917975655,13.884571736129494,False,-234.787175725883,-931.2251197917134,44,1980,10,187,108.34
373627,Bulk carrier,11.3067223393769,16.388426157530738,False,-726.5796477137471,-752.1047163648824,58,1966,3,107,77.41
4033203,Bulk carrier,10.719488152473858,15.801191970627695,False,-749.4852101938166,-299.71892299996,10,2014,6,306,54.26
291638,Bulk carrier,11.177323095936934,16.25902691409077,True,-544.9431867907433,110.60136772285614,31,1993,4,214,52.49
1534696,Oil tanker,8.264404110185422,13.346107928339261,True,-951.7500811778368,173.7063238494511,55,1969,9,122,133.83
3833180,Bulk carrier,9.852022770169595,14.933726588323434,True,-327.417283791803,806.7209820608314,31,1993,5,304,127.73
1487824,Oil tanker,8.543872834559691,13.62557665271353,True,-407.1037924815299,857.2847469287174,27,1997,5,60,202.79
539742,Oil tanker,,12.373049681942135,True,-301.34873151087675,-923.605598101779,18,2006,0,328,213.04
1540900,Bulk carrier,9.726358340107769,14.808062158261606,False,-914.1397892502077,-392.36946666054905,14,2010,6,156,77.75
2660709,Oil tanker,8.319682982824466,13.401386800978305,False,-239.3650103193729,188.78956324154478,2,2022,5,178,36.53
417187,Oil tanker,8.981193691938337,14.062897510092174,True,-468.6960645285965,283.15340175557094,35,1989,8,194,68.88
459373,Oil tanker,7.809352819297352,12.89105663745119,False,-422.07808057232546,994.4268569832302,48,1976,5,31,137.4
1541663,Container ship,16.297693133642507,21.379396951796345,True,-740.5182132345051,-812.7201162275204,5,2019,6,266,71.26
3718135,Bulk carrier,10.620991697748616,15.702695515902455,True,-597.856305365152,-954.6720765521064,36,1988,3,136,151.93
3733351,Bulk carrier,11.27378104498115,16.35548486313499,True,-578.4508510297686,-999.287055788618,31,1993,7,100,112.76
2860189,Container ship,15.934328137274042,21.01603195542788,True,-569.3098059785223,-14.408964738349368,60,1964,0,131,49.23
2100811,Bulk carrier,10.767250806305846,15.848954624459683,True,-536.9955998444543,-971.5063656400189,17,2007,0,129,114.23
3296119,Container ship,13.953561113427241,19.03526493158108,False,-385.3208591293518,133.94873549708768,60,1964,2,198,27.38
2957348,Container ship,16.276649055656854,21.35835287381069,False,-202.36107847475716,420.52985028581065,22,2002,4,167,23.78
2865321,Oil tanker,7.816776556412548,12.898480374566386,True,-631.8540470333146,-81.25894921224176,53,1971,5,254,119.12
2412938,Container ship,16.835523062978687,21.917226881132525,False,-466.31493684063685,47.77106151735984,15,2009,2,129,25.94
3793474,Bulk carrier,,16.069151999667746,True,-463.40028846297605,-772.0597229215036,20,2004,8,297,88.46
1056153,Container ship,14.77966286311349,19.861366681267327,True,-415.96922520486555,735.3330429748448,52,1972,7,114,65.25
935042,Bulk carrier,11.2074887007879,16.28919251894174,True,-341.6214557282027,177.03717968797696,36,1988,9,207,47.82
614529,Oil tanker,9.499027407861352,14.580731226015189,True,-229.4575351172208,-617.9730326995096,-4,2028,4,239,87.39
654296,Oil tanker,9.196104446243982,14.27780826439782,False,-939.1073139957286,-267.05590541799995,31,1993,0,231,72.55
3023909,Bulk carrier,10.932325338246732,16.01402915640057,False,-890.2946204700943,-391.25322742645665,20,2004,2,89,71.51
2147710,Oil tanker,8.40116648550151,13.482870303655346,True,-743.0815659159598,-933.9874117744491,56,1968,9,61,170.41
